speaker,label,vowel,NC,voicing,nas_prop
S07,r__I_nt_____N_B24/s,i,nt,voiceless,0.21014736360977598
S07,r__a_nt_@___N_B11/s,a,nt,voiceless,0.4857031625813386
S07,v__I_nd_@ln_N_B23/s,i,nd,voiced,0.3715542841689067
S07,v__I_nt_6___N_B22/s,i,nt,voiceless,0.5080305775614916
S07,v__a_nt_@___N_B08/s,a,nt,voiceless,0.6876606511394703
S07,z__E_nd_@___N_B14/s,e,nd,voiced,0.3068247976824018
S07,z__E_nt_a___N_B10/s,e,nt,voiceless,0.6317998191504269
S07,z__O_nd_@___N_B25/s,o,nd,voiced,0.7622354388681865
S07,z__O_nt_@___N_B08/s,o,nt,voiceless,0.5362566418536735
S07,z__a_nd_@___N_B11/s,a,nd,voiced,0.542702931926673
S07,z__a_nt_@___N_B14/s,a,nt,voiceless,0.6675197590129982
S08,?__E_nd_@___N_B21/s,e,nd,voiced,0.39326055326448095
S08,?__E_nt_@___N_B20/s,e,nt,voiceless,0.716952742827961
S08,b__U_nd_@___N_B22/s,u,nd,voiced,0.5813847469817373
S08,b__U_nd_@___N_B23/s,u,nd,voiced,0.394864186068471
S08,b__a_nd_@___N_B07/s,a,nd,voiced,0.46339149504511407
S08,b__a_nt_@___N_B24/s,a,nt,voiceless,0.5238529858642068
S08,f__I_nd_@___N_B10/s,i,nd,voiced,0.12000877036046957
S08,p__E_nt_____N_B22/s,e,nt,voiceless,0.2276143597498348
S08,p__a_nd_a___N_B23/s,a,nd,voiced,0.24793258464326587
S08,p__a_nt_6___N_B10/s,a,nt,voiceless,0.192329244808874
S08,r__E_nd_6___N_B23/s,e,nd,voiced,0.477198602114022
S08,r__I_nt_____N_B22/s,i,nt,voiceless,0.6351157034955526
S08,r__a_nt_@___N_B10/s,a,nt,voiceless,0.7465940798239714
S08,v__I_nt_6___N_B24/s,i,nt,voiceless,0.24436212548919264
S08,v__a_nt_@___N_B19/s,a,nt,voiceless,0.38559590490210605
S08,z__E_nd_@___N_B08/s,e,nd,voiced,0.7482606257709733
S08,z__E_nt_a___N_B11/s,e,nt,voiceless,0.9220860493014172
S08,z__O_nd_@___N_B21/s,o,nd,voiced,0.512829142575452
S08,z__O_nt_@___N_B19/s,o,nt,voiceless,0.6106820388138456
S08,z__a_nd_@___N_B10/s,a,nd,voiced,0.5134901320100146
S08,z__a_nt_@___N_B08/s,a,nt,voiceless,0.6496810431109685
S09,?__E_nd_@___N_B12/s,e,nd,voiced,0.10275427913145804
S09,b__U_nd_@___N_B21/s,u,nd,voiced,0.42392039251466995
S09,b__U_nt_@___N_B23/s,u,nt,voiceless,0.6676067726852994
S09,b__a_nt_@___N_B11/s,a,nt,voiceless,0.7079590585240912
S09,f__I_nt_@___N_B21/s,i,nt,voiceless,0.9467627150425365
S09,p__E_nt_____N_B21/s,e,nt,voiceless,0.32511317039593907
S09,p__a_nt_6___N_B24/s,a,nt,voiceless,0.6297225428370384
S09,r__E_nd_6___N_B23/s,e,nd,voiced,0.1423613456141651
